index,ID,name,cuisine,taste,dietary_restrictions,meat,KW,overview
11,1011,Vada Pav,Indian,spicy,vegetarian,no_meat,potato_fritter  bread chutneys_spices,"This dish is a popular street food in India and consists of a potato fritter placed between two slices of bread and served with various chutneys and spices. It has a spicy, tangy and slightly sweet flavor."
12,1012,Idli Sambar,Indian,sour,vegetarian,no_meat,steamed rice spicy lentil soup,"This dish is a South Indian breakfast dish consisting of steamed rice cakes called idlis served with a spicy lentil soup called sambar. The idlis are light, fluffy, and have a slightly sour flavor, while the sambar is tangy and spicy."
13,1013,Kadhai Paneer,Indian,tangy,vegetarian,no_meat,paneer bell_peppers spices,"This dish is a vegetarian dish made with paneer, bell peppers, and spices, cooked in a wok-like pan called a kadhai. It has a spicy, tangy flavor with a slightly smoky taste from cooking in the kadhai."
14,1014,Naan,Indian,sweet,vegetarian,no_meat,mixture flour  yeast yogurt,"This dish is a type of Indian flatbread made from a mixture of flour, yeast, yogurt, and other ingredients. It is typically served with Indian curries and has a soft, chewy texture with a slightly tangy, slightly sweet flavor."
15,1015,Gulab Jamun,Indian,sweet,vegetarian,no_meat,deep_fried sweet_milk solids sugar_syrup,"This dish is a round, deep-fried sweet made from milk solids and soaked in a sugar syrup flavored with cardamom and rose water. It has a soft, spongy texture and a sweet, syrupy flavor with a hint of cardamom and rose."
16,1016,Rasgulla,Indian,sweet,vegetarian,no_meat,chhena sugar_syrup,"This dish is a spongy, round sweet made from chhena (cottage cheese) and soaked in sugar syrup. It has a soft, spongy texture and a sweet, syrupy flavor."
17,1017,Kulfi,Indian,sweet,vegetarian,no_meat,ice_cream cardamom saffron mango.,"This dish is a traditional Indian ice cream made from milk, sugar, and flavored with cardamom, saffron, or mango. It has a dense, creamy texture and a sweet, rich flavor."
18,1018,Jalebi,Indian,sweet,vegetarian,no_meat,sweet deep_fried sugar_syrup,"This dish is a sweet, deep-fried dough shaped into pretzel-like spirals and soaked in a sugar syrup. It has a crispy exterior and a chewy, syrupy interior."
19,1019,Laddu,Indian,sweet,vegetarian,no_meat,ball flour sugar fat,"This dish is a sweet, round ball made from flour, sugar, and ghee (clarified butter) and flavored with cardamom and saffron. It has a dense, sweet, and slightly crumbly texture."
20,1020,Kheer,Indian,sweet,vegetarian,no_meat,rice_pudding milk rice  sugar,"This dish is a traditional Indian rice pudding made with milk, rice, sugar, and flavored with cardamom, saffron, or nuts. It has a creamy, sweet flavor and a slightly thick, pudding-like texture."
21,1101,Kung Pao chicken,Chinese,spicy,nonvegetarian,chicken,chicken peanuts vegetables savory_sauce.,"This dish is a spicy stir-fry dish made with chicken, peanuts, vegetables, and chili peppers in a spicy, savory sauce. It has a spicy, slightly sweet flavor with a slightly crunchy texture from the peanuts."
22,1102,Hot and Sour Soup,Chinese,spicy,eggetarian,egg,soup tofu mushrooms egg,"This dish is a savory soup made with a combination of ingredients such as tofu, mushrooms, bamboo shoots, and egg in a spicy, sour broth. It has a spicy, tangy, and slightly sour flavor."
23,1103,Mapo Tofu,Chinese,spicy,nonvegetarian,beef,spicy_sauce black_beans chili_paste.,"This dish is a spicy stir-fry made with tofu, ground beef, and a spicy sauce made with fermented black beans and chili paste. It has a spicy, savory flavor and a slightly creamy texture from the tofu."
24,1104,Chow Mein,Chinese,sour,pascatarian,seafood,noodles vegetables chicken shrimp,"This dish is a stir-fried noodle dish made with egg noodles, vegetables, and proteins such as chicken or shrimp. It has a slightly chewy texture from the noodles and a savory, slightly salty flavor."
25,1105,Szechuan chicken,Chinese,spicy,nonvegetarian,chicken,chicken vegetables Szechuan_peppercorns,"This dish is a spicy stir-fry dish made with chicken, vegetables, and Szechuan peppercorns in a spicy sauce. It has a spicy, savory flavor with a slightly numbing effect from the Szechuan peppercorns."
26,1106,Sweet and Sour pork,Chinese,sweet,nonvegetarian,pork,pork bell peppers onions sweet_sour sauce,"This dish is a sweet and tangy stir-fry made with pork, pineapple, bell peppers, and onions in a sweet and sour sauce. It has a sweet, tangy, and slightly sour flavor."
27,1107,beefwith Broccoli,Chinese,savory,nonvegetarian,beef,beefbroccoli  savory_sauce,"This dish is a stir-fry made with beef, broccoli, and a savory sauce. It has a savory, slightly salty flavor with a slightly crunchy texture from the broccoli."
28,1108,Dumplings,Chinese,savory,pascatarian,seafood,boiled dumpling with fillings,"This dish is a steamed or boiled dumpling made with a variety of fillings such as pork, beef, vegetables, or shrimp. It has a slightly chewy texture and a savory flavor, depending on the filling."
29,1109,Fried Rice,Chinese,savory,pascatarian,seafood,rice vegetables chicken shrimp,"This dish is a stir-fried dish made with rice, vegetables, and proteins such as chicken or shrimp. It has a slightly crunchy texture from the stir-frying and a savory, slightly salty flavor."
30,1110,Won-ton Soup,Chinese,savory,pascatarian,seafood,savory_soup wontons,"This dish is a savory soup made with wontons (dumplings filled with meat or vegetables) in a broth. It has a savory, slightly salty flavor with a slightly chewy texture from the wontons."
31,1111,Mongolian beef,Chinese,savory,nonvegetarian,beef,beefonions scallions sweet_savory sauce,"This dish is a stir-fry made with beef, onions, and scallions in a sweet and savory sauce. It has a slightly sweet and savory flavor with a slightly chewy texture from the beef."
32,1112,Mu Shu pork,Chinese,savory,nonvegetarian,pork,pork vegetables scrambled_egg wrapped_pancakes.,"This dish is a stir-fry made with shredded pork, vegetables, and scrambled egg wrapped in thin pancakes. It has a savory, slightly salty flavor with a slightly crunchy texture from the vegetables."
33,1113,Shrimp with Lobster Sauce,Chinese,savory,pascatarian,seafood,shrimp_vegetables sauce black bean paste,"This dish is a stir-fry made with shrimp and vegetables in a savory sauce made with black bean paste, ginger, and garlic. It has a savory, slightly salty flavor with a slightly creamy texture from the sauce."
34,1114,Steamed Dumplings,Chinese,savory,pascatarian,seafood,steamed_dumpling with fillings,"This dish is a steamed dumpling made with a variety of fillings such as pork, beef, vegetables, or shrimp. It has a slightly chewy texture and a savory flavor, depending on the filling."
35,1115,Glutinous rice ball,Chinese,sweet,vegetarian,no_meat,rice_flour sesame_paste peanut red_bean,"This dessert is made with glutinous rice flour and can have various sweet fillings, such as sesame paste, peanut powder, or red bean paste. The chewy and slightly sticky texture of the glutinous rice ball is a contrast to the sweet and soft filling, creating a balanced and satisfying taste."
36,1116,Egg tart,Chinese,sweet,eggetarian,egg,egg Marsala_wine fresh_fruit biscotti.,"This dessert is a pastry shell filled with a creamy custard filling made from egg, sugar, and milk. The smooth and creamy texture of the filling, along with the slightly sweet and buttery pastry shell, create a harmonious and rich taste."
37,1117,Sweet soup or syrup,Chinese,sweet,vegetarian,no_meat,red_beans barley lotus_seeds ginger,"This dessert can be made with a variety of ingredients, including red beans, barley, lotus seeds, and ginger. The sweetness of the syrup is balanced by the natural flavors of the ingredients, creating a sweet and warming taste."
38,1118,Sweet potato,Chinese,sweet,vegetarian,no_meat,boiling baking sweet_potatoes syrup honey,"This dessert is made by boiling or baking sweet potatoes and then serving them with syrup or honey. The natural sweetness of the sweet potatoes is enhanced by the syrup, creating a sweet and soft taste."
39,1119,Red date lotus seed sweet soup,Chinese,sweet,vegetarian,no_meat,red_dates lotus_seeds sweet_syrup,This dessert is made by simmering red dates and lotus seeds in sweet syrup. The natural sweetness of the red dates and the nutty flavor of the lotus seeds create a warm and comforting taste.
40,1120,Red bean paste bun,Chinese,sweet,vegetarian,no_meat,soft_bun sweetened red_bean paste,This dessert consists of a soft bun filled with sweetened red bean paste. The contrast between the soft and fluffy bun and the sweet and slightly chewy red bean paste creates a satisfying and indulgent taste.
41,1201,Margherita Pizza,Italian,savory,vegetarian,no_meat,pizza tomato_sauce mozzarella basil,"A classic pizza topped with tomato sauce, mozzarella cheese, and fresh basil. The savory tomato sauce and melted mozzarella cheese are balanced by the fresh and aromatic basil, creating a simple but delicious taste."
42,1202,Spaghetti Carbonara,Italian,savory,eggetarian,egg,pasta spaghetti pancetta egg parmesan,"A pasta dish made with spaghetti, pancetta, egg, and parmesan cheese. The creamy sauce made from the egg and cheese is balanced by the salty and slightly smoky flavor of the pancetta, creating a rich and satisfying taste"
43,1203,Lasagna,Italian,savory,nonvegetarian,chicken,layered_pasta meat cheese tomato_sauce,"A layered pasta dish filled with meat, cheese, and tomato sauce. The layers of pasta, cheese, and meat create a rich and hearty taste, while the tomato sauce provides a bright and acidic balance."
44,1204,Risotto,Italian,savory,pascatarian,seafood,Arborio_rice broth mushrooms seafoodvegetables,"A creamy and comforting rice dish made with Arborio rice, broth, and various ingredients, such as mushrooms, seafood, or vegetables. The creamy texture of the risotto is balanced by the flavors of the ingredients, creating a satisfying and filling taste."
45,1205,Fettuccine Alfredo,Italian,savory,vegetarian,no_meat,pasta fettuccine_noodles cream parmesan butter,"A pasta dish made with fettuccine noodles, heavy cream, parmesan cheese, and butter. The creamy and cheesy sauce is rich and indulgent, creating a comforting and flavorful taste."
46,1206,Osso Buco,Italian,savory,pascatarian,seafood,braised veal shanks tomato_wine sauce.,"A traditional Italian dish made with braised veal shanks in a tomato and wine sauce. The slow cooking process tenderizes the meat and infuses it with the flavors of the sauce, creating a rich and hearty taste."
47,1207,Caprese Salad,Italian,savory,vegetarian,no_meat,creamy_salty mozzarella refreshing_satisfying,"A simple and fresh salad made with sliced tomatoes, mozzarella cheese, and basil. The juicy and sweet tomatoes are balanced by the creamy and salty mozzarella cheese, creating a refreshing and satisfying taste."
48,1208,Gnocchi,Italian,sweet,vegetarian,no_meat,dumpling potato flour,"A type of Italian dumpling made with potato and flour. The soft and tender texture of the gnocchi is a contrast to the flavors of the sauce and ingredients, creating a satisfying and filling taste."
49,1209,Pesto Pasta,Italian,spicy,vegetarian,no_meat,basil parmesan pine_nuts garlic olive oil.,"A pasta dish made with fresh basil, parmesan cheese, pine nuts, garlic, and olive oil. The bright and fresh flavor of the basil pesto is a contrast to the comforting and filling pasta, creating a satisfying and flavorful taste."
50,1210,Tiramisu,Italian,spicy,eggetarian,egg,layer cake espresso_liquor mixture sugar egg mascarpone,"Tiramisu is a classic Italian dessert made with layers of sponge cake or ladyfingers soaked in espresso and liquor, and a creamy mixture of egg, sugar, and mascarpone cheese. The espresso and liquor provide a bold and slightly bitter taste, while the creamy mascarpone mixture is rich and indulgent."
51,1211,Minestrone Soup,Italian,spicy,vegetarian,no_meat,soup tomatoes celery_beans pasta,"Minestrone Soup is a classic Italian soup made with vegetables, such as tomatoes, carrots, celery, and beans, simmered in a broth with pasta or rice. The taste of minestrone soup is hearty, comforting, and savory."
52,1212,Polenta,Italian,savory,vegetarian,no_meat,boiled cornmeal toppings,"Polenta is a dish made from boiled cornmeal that is typically served as a side dish or as a base for toppings. The taste of polenta is warm and slightly nutty, with a creamy and slightly grainy texture."
53,1213,Veal Parmigiana,Italian,spicy,pascatarian,seafood,breded_fried veal cutlets tomato_sauce melted_mozzarella,"Veal Parmigiana is a dish made with breaded and fried veal cutlets, topped with tomato sauce and melted mozzarella cheese. The taste of veal parmigiana is savory and hearty, with the crispy breading of the veal and the rich and slightly acidic tomato sauce balancing each other."
54,1214,Calzone,Italian,spicy,vegetarian,no_meat,pizza cheese sauce toppings.,"A calzone is a type of pizza that is folded in half and filled with cheese, sauce, and various toppings. The taste of a calzone is rich, savory, and indulgent, with the melted cheese, tomato sauce, and toppings creating a satisfying and filling flavor."
55,1215,Bolognese Sauce,Italian,sweet,nonvegetarian,beef,slow_simmered  pasta.,"Bolognese sauce is a slow-simmered meat-based sauce typically served with pasta. The taste of bolognese sauce is rich and hearty, with the sweetness of the tomatoes and the savory flavor of the meat creating a balanced and flavorful sauce."
56,1216,Panna Cotta,Italian,sweet,vegetarian,no_meat,heavy_cream sugar_gelatine fresh_fruit sweet_sauce.,"A creamy dessert made with heavy cream, sugar, and gelatine, served with fresh fruit or a sweet sauce."
57,1217,Cannoli,Italian,sweet,vegetarian,no_meat,fried_pastry ricotta chocolate_chips fruit.,"A traditional Sicilian dessert made with crispy fried pastry shells filled with sweet ricotta cheese, chocolate chips, and candied fruit."
58,1218,Biscotti,Italian,sweet,vegetarian,no_meat,cookie served with coffee wine.,"A type of dry, crunchy cookie that is traditionally served with coffee or wine."
59,1219,Gelato,Italian,sweet,vegetarian,no_meat,ice_cream flavorings.,"A creamy and smooth Italian ice cream, made with a mixture of milk, sugar, and flavorings."
60,1220,Zabaglione,Italian,sweet,eggetarian,egg,egg Marsala_wine fresh_fruit biscotti.,"A sweet, custard-like dessert made with egg yolks, sugar, and Marsala wine, often served with fresh fruit or biscotti."
61,1301,Tacos,Mexcian,spicy,nonvegetarian,pork,Grilled sautéed fried wrapped tortilla,"The taste of tacos varies based on the filling, but they often have a combination of flavors including spicy, tangy, and savory."
62,1302,Burritos,Mexcian,spicy,nonvegetarian,pork,Rice beans cheese meat salsa wrapped tortilla,"Burritos are often filled with rice, beans, cheese, meat, and salsa, creating a mix of flavors including spicy, creamy, and savory."
63,1303,Enchiladas,Mexcian,spicy,vegan,no_meat,tortillas sauce cheese baked,"Enchiladas have a mild to medium spiciness and a rich, savory flavor from the sauce and filling."
64,1304,Tamales,Mexcian,spicy,vegetarian,no_meat,Masa (dough) meat spices corn steamed,"Tamales are typically filled with meat and spices, giving them a savory and slightly spicy flavor."
65,1305,Fajitas,Mexcian,savory,vegetarian,no_meat,Sautéed vegetables meat tortillas,"Fajitas are a combination of sautéed vegetables and meat, often with a slightly spicy flavor."
66,1306,Chiles Rellenos,Mexcian,savory,vegetarian,beef,Stuffed chili_peppers battered fried,"Chiles Rellenos have a mild to medium spiciness and a creamy, savory flavor from the cheese filling."
67,1307,Guacamole,Mexcian,sour,vegetarian,no_meat,Avocado lime onion spices mashed,Guacamole has a rich and creamy flavor with a hint of citrus and spice.
68,1308,Salsa,Mexcian,spicy,vegetarian,no_meat,Chopped tomatoes onions chili peppers spices,"Salsa can range from mild to spicy, and has a tangy, fresh flavor."
69,1309,Quesadillas,Mexcian,savory,nonvegetarian,chicken,Melted_cheese two tortillas grilled,"Quesadillas are melted cheese and fillings in a crispy tortilla, giving them a savory, cheesy flavor."
70,1310,Nachos,Mexcian,savory,nonvegetarian,chicken,Crispy_chip stopped with melted_cheese salsa,"Nachos are crispy chips covered in melted cheese, with a savory, salty, and sometimes spicy flavor."
71,1311,Pozole,Mexcian,savory,nonvegetarian,pork,pork chicken spices broth,"Pozole is a hearty soup with a savory, slightly spicy flavor."
72,1312,Carne Asada,Mexcian,savory,nonvegetarian,beef,Grilled beef,Carne Asada has a savory and slightly smoky flavor from grilling the meat.
73,1313,Churros,Mexcian,sweet,vegetarian,no_meat,Fried dough sugar,Churros are crispy fried dough with a sweet and slightly nutty flavor.
74,1314,Flan,Mexcian,sweet,vegetarian,no_meat,Condensed milk sugar egg baked,Flan is a creamy and sweet dessert with a rich caramel flavor.
75,1315,Huevos Rancheros,Mexcian,spicy,eggetarian,egg,egg salsa tortilla,"Huevos Rancheros have a mild to medium spiciness and a savory, slightly tangy flavor from the salsa and egg."
76,1316,Pico de Gallo,Mexcian,spicy,vegetarian,no_meat,Tomatoes onions chili_pepper spices,Pico de Gallo is a fresh salsa with a tangy and slightly spicy flavor
77,1317,Elote,Mexcian,spicy,vegetarian,no_meat,Grilled corn spices cheese,"Elote is grilled corn on the cob with a creamy, savory, and slightly spicy flavor."
78,1318,Tres Leches Cake,Mexcian,sweet,vegetarian,no_meat,cake milk whipped_cream fruit,"Tres Leches Cake is a sponge cake soaked in a mixture of three milks (evaporated milk, condensed milk, and heavy cream) which gives it a rich, creamy flavor. It is typically topped with whipped cream and sometimes fruit."
79,1319,Pastel de Tres Leches,Mexcian,sweet,vegetarian,no_meat,cake milk whipped_cream cinnamon vanilla,"This is a variation of Tres Leches cake but with a different texture. It has a spongier and lighter texture, with a layer of whipped cream and a touch of cinnamon or vanilla"
80,1320,Arroz con Leche,Mexcian,sweet,vegetarian,no_meat,milk sugar cinnamon fruit nuts,"Arroz con Leche is a sweet and creamy rice pudding made with milk, sugar, and cinnamon. It is often garnished with fruit, nuts, or cinnamon, and can be served hot or cold."
81,1401,Hamburgers,American,savory,vegetarian,beef,Grilled pan-fried beefpatties bun cheese lettuce tomato condiments,"Grilled or pan-fried ground beefpatties served on a bun with toppings such as cheese, lettuce, tomato, and condiments."
82,1402,Fried chicken,American,spicy,nonvegetarian,chicken,chicken pieces flour spices egg crispy,"chicken pieces are coated in a mixture of flour, spices, and egg, then fried in hot oil until crispy and cooked through."
83,1403,Hot Dogs,American,savory,nonvegetarian,chicken,Grilled boiled sausages toppings ketchup mustard onions,"Grilled or boiled sausages served in a bun with toppings such as ketchup, mustard, and onions."
84,1404,Mac and Cheese,American,sweet,vegetarian,no_meat,Pasta sauce cheese milk Baked,"Pasta is boiled, then mixed with a sauce made from melted cheese, milk, and seasonings. Baked in the oven until bubbly and golden."
85,1405,Barbecue Ribs,American,tangy,nonvegetarian,beef,pork ribs tomato vinegar spices tender,"pork ribs are slow-cooked or grilled with a sauce made from tomato, vinegar, and spices until tender."
86,1406,Sandwiches,American,tangy,vegetarian,beef,bread meat cheese vegetables condiments toasted,"Two slices of bread are filled with meat, cheese, vegetables, and condiments, then toasted or served cold."
87,1407,French Toast,American,sweet,vegetarian,no_meat,Bread egg milk sugar spices fried,"Bread is soaked in a mixture of egg, milk, sugar, and spices, then fried until golden brown."
88,1408,Chili,American,spicy,nonvegetarian,beef,Meat beans vegetables spices stew,"Meat, beans, vegetables, and spices are simmered together to create a thick and flavorful stew."
89,1409,Clam Chowder,American,sweet,pascatarian,seafood,Clams potatoes onions celery broth,"Clams, potatoes, onions, and celery are simmered together in a creamy broth."
90,1410,Crab Cake,American,sweet,pascatarian,seafood,Crab meat breadcrumbs egg seasonings cakes fried,"Crab meat is combined with breadcrumbs, egg, and seasonings, then shaped into cakes and fried until crispy"
91,1411,Baked Potatoes,American,savory,vegetarian,no_meat,Potatoes butter,"Potatoes are baked in the oven until soft, then topped with ingredients such as butter,"
92,1412,Roast beef,American,savory,nonvegetarian,beef,beefroasted doneness,"beefis seasoned, then roasted in the oven until cooked to the desired doneness."
93,1413,Fried Fish,American,spicy,pascatarian,seafood,Fish flour spices egg fried crispy,"Fish is coated in a mixture of flour, spices, and egg, then fried in hot oil until crispy and cooked through."
94,1414,Jambalaya,American,spicy,nonvegetarian,chicken,Rice meat seafoodvegetables spices,Spicy and savory with a slightly smoky flavor and a tender texture from the rice.
95,1415,Buffalo Wings,American,spicy,nonvegetarian,chicken,chicken_wings spicy_sauce fried crispy celery_sticks blue_cheese,Spicy with a tangy flavor and a crispy exterior
96,1416,Apple Pie,American,sweet,vegetarian,no_meat,Apples pie sugar spices butter,"Apples are sliced and placed in a pie crust, topped with a mixture of sugar, spices, and butter, then baked until the crust is golden brown."
97,1417,Chocolate Chip Cookies,American,sweet,vegetarian,no_meat,Butter sugar egg flour chocolate chips,"Butter, sugar, egg, flour, and chocolate chips are combined and baked until golden brown."
98,1418,Brownies,American,sweet,vegetarian,no_meat,Chocolate butter sugar egg flour,"Chocolate, butter, sugar, egg, and flour are melted and combined, then baked until set."
99,1419,Ice Cream Sundae,American,sweet,vegetarian,no_meat,ice_cream syrup whipped_cream nuts fruit,"Scoops of ice cream are topped with syrup, whipped cream, and other toppings such as nuts or fruit"
100,1420,Cheesecake,American,sweet,vegetarian,no_meat,cream_cheese sugar egg cookies pastry,"A mixture of cream cheese, sugar, egg, and other ingredients is baked in a crust made from graham crackers, cookies, or pastry."
101,1501,Escargots,French,savory,pascatarian,seafood,Snails garlic butter,Snails cooked in garlic butter
102,1502,Coq au Vin,French,savory,nonvegetarian,chicken,chicken red_wine mushrooms bacon garlic,"chicken cooked in red wine with mushrooms, bacon, and garlic."
103,1503,Quiche Lorraine,French,savory,nonvegetarian,pork,custard_tart egg cream cheese bacon,"A custard tart filled with egg, cream, cheese, and bacon."
104,1504,Bouillabaisse,French,savory,pascatarian,seafood,fish_stew seafoodvegetables herbs,"A fish stew made with a variety of seafood, vegetables, and herbs."
105,1505,Ratatouille,French,savory,vegetarian,no_meat,vegetable_stew eggplant zucchini bell_peppers tomatoes,"A vegetable stew made with eggplant, zucchini, bell peppers, and tomatoes"
106,1506,Croissants,French,sweet,vegetarian,no_meat,butter pastry,"A flaky, buttery pastry that is a staple of French breakfast cuisine."
107,1507,Crème Brûlée,French,sweet,vegetarian,no_meat,custard caramelized_sugar,A dessert made with a custard base topped with a layer of caramelized sugar.
108,1508,Tarte Tatin,French,sweet,vegetarian,no_meat,caramelized apple_tart,A caramelized apple tart.
109,1509,Chocolate Mousse,French,sweet,vegetarian,no_meat,chocolate sugar cream,"rich and creamy dessert made with chocolate, sugar, and cream."
110,1510,Profiteroles,French,sweet,vegetarian,no_meat,cream_puffs ice_cream chocolate_sauce,Small cream puffs filled with ice cream and topped with chocolate sauce.
111,1511,Cassoulet,French,savory,vegetarian,pork,stew white_beans sausage duck pork,"A hearty stew made with white beans, sausage, and duck or pork."
112,1512,Sole Meunière,French,savory,pascatarian,seafood,sole_fillets lemon-butter_sauce,A simple dish of pan-fried sole fillets served with a lemon-butter sauce.
113,1513,Bouef Bourguignon,French,savory,nonvegetarian,beef,stew beefred_wine mushrooms,"A stew made with beef, red wine, and mushrooms."
114,1514,Blanquette de Veau,French,savory,nonvegetarian,beef,veal_stew creamy_sauce vegetables,A veal stew cooked in a creamy sauce with vegetables.
115,1515,Crêpes,French,sweet,vegetarian,no_meat,pancakes,"Thin, delicate pancakes that can be filled with sweet or savory ingredients."
116,1516,beefWellington,French,savory,nonvegetarian,beef,beefpâté duxelles puff_pastry,"A fillet of beefcoated in pâté and duxelles, then wrapped in puff pastry and baked."
117,1517,Escalope de Veau,French,savory,nonvegetarian,beef,veal breaded sauce,"Thin slices of veal that are breaded and fried, typically served with a sauce."
118,1518,Coq au Vin,French,savory,nonvegetarian,chicken,Red_wine chicken veggies,"It is often served with mashed potatoes, rice, or crusty bread. The dish has a rich, savory flavor with a deep, aromatic wine sauce that is slightly tangy and slightly sweet. The chicken is cooked until it is very tender and falls off the bone, making it a hearty and satisfying dish."
119,1519,Pissaladière,French,savory,pascatarian,seafood,caramelized_onions anchovies olives,"A type of pizza from the south of France made with caramelized onions, anchovies, and olives."
120,1520,Confit de Canard,French,savory,nonvegetarian,chicken,duck_legs,A traditional dish made by slow-cooking duck legs in their own fat until tender and flavorful.
121,1601,Tom Yum Soup,Thai,sour,vegetarian,no_meat,sour spicy soup,"all the fragrant fresh herbs and spices ,the kaffir lime leaves, lemongrass, galangal, chilli and garlic are key to this soup"
122,1602,Pad Thai,Thai,sweet,nonvegetarian,chicken,stir_fried rice noodles egg chicken beef shrimp fish_sauce,"stir-fried rice noodles with vegetables, peanuts, egg, and a choice of protein (chicken, beef, shrimp, etc.), flavored with tamarind juice, fish sauce, and chili flakes."
123,1603,Green Curry,Thai,sweet,nonvegetarian,beef,creamy curry green_chilies coconut_milk Thai_basil meat,"a creamy curry made with green chilies, coconut milk, Thai basil, and a variety of vegetables and meat."
124,1604,Papaya Salad,Thai,sour,vegetarian,no_meat,spicy tangy salad green_papay  tomatoes peanuts chili lime_juice,"a spicy and tangy salad made with shredded green papaya, tomatoes, peanuts, chili, and lime juice."
125,1605,Massaman Curry,Thai,spicy,nonvegetarian,beef,mild nutty curry potatoes peanuts beefchicken cinnamon cardamom tamarind_juice,"a mild, nutty curry made with potatoes, peanuts, and beefor chicken, flavored with cinnamon, cardamom, and tamarind juice."
126,1606,Mango Sticky Rice,Thai,sweet,vegetarian,no_meat,sweet dessert glutinous_rice mango sugar coconut_milk,"a sweet dessert made with glutinous rice, mango, and a sweet syrup made with sugar and coconut milk."
127,1607,Pad Krapow Moo Saap,Thai,savory,nonvegetarian,pork,Basil pork Stir_Fry minced_pork chili garlic fish_sauce,"stir-fried minced pork with basil, chili, garlic, and fish sauce."
128,1608,Pla Rad Prik,Thai,savory,pascatarian,seafood,deep_fried_fish Sweet_Chili_Sauce steamed_vegetables,deep-fried fish coated with a sweet chili sauce and served with steamed vegetables
129,1609,Tom Kha Gai,Thai,spicy,nonvegetarian,chicken,creamy_soup chicken coconut_milk galangal lemongrass kaffir_lime_leaves,"a creamy and flavorful soup made with chicken, coconut milk, galangal, lemongrass, and kaffir lime leaves."
130,1610,Larb,Thai,spicy,nonvegetarian,beef,salad beefpork chili herbs,"a spicy salad made from minced meat (chicken, beef, or pork), chili, lime juice, and herbs."
131,1611,Khao Soi,Thai,spicy,eggetarian,egg,soup egg noodles chicken curry_broth,"a flavorful soup made with egg noodles, chicken, and a curry broth."
132,1612,Nam Prik Pao,Thai,spicy,pascatarian,seafood,spicy_chili_paste dried_shrimp chili garlic shallots,"a spicy chili paste made with dried shrimp, chili, garlic, and shallots, used as a dipping sauce or as a condiment"
133,1613,Yum Talay,Thai,spicy,pascatarian,seafood,salad seafoodchili lime_juice herbs,"a spicy salad made from seafood, chili, lime juice, and herbs."
134,1614,Guay Tiew,Thai,savory,nonvegetarian,pork,soup noodle_soup noodles meat vegetables,"a hearty noodle soup made with various types of noodles, meat, and vegetables."
135,1615,Gai Tod,Thai,savory,nonvegetarian,chicken,Fried_chicken sweet_chili_sauce sticky_rice,Fried chicken served with sweet chili sauce and a side of sticky rice.
136,1616,Pla Tom Yam,Thai,sour,vegetarian,seafood,Fried_fish spicy sour_sauce fish_sauce,"Fried fish with a spicy and sour sauce made with chili, lemongrass, lime juice, and fish sauce."
137,1617,Khanom Tuay,Thai,sweet,vegetarian,no_meat,rice_cakes rice_flour coconut_milk sugar,"Small, round Thai rice cakes made from a mixture of rice flour, coconut milk, and sugar."
138,1618,Taro Balls,Thai,sweet,vegetarian,no_meat,Soft chewy_balls taro sweet_syrup,Soft and chewy balls made from taro and served in a sweet syrup.
